创建时间,课程名称,学习人数,学习时间
2016/7/4 13:16,python 二手房信息爬取与数据呈现,471,8028
2016/7/4 17:52,利用Flask-AppBuilder 快速构建Web后台管理应用,606,5559
2016/7/5 13:41,R语言进行商业问卷分析--《菜鸟侦探挑战数据分析》,402,3708
2016/7/5 15:06,Sqlmap快速上手教程,330,3213
2016/7/5 16:45,JAVA基于SSM框架实现简历生成,1194,9678
2016/7/6 10:26,Sql注入基础原理介绍,2889,19962
2016/7/10 9:24,基于 Amazon AWS EC2 部署 Ghost 博客,18,0
2016/7/10 10:02,Flask + VueJS 全栈 Web 开发实战,2016,20637
2016/7/10 13:56,从头开始学习漏洞利用,57,2754
2016/7/10 15:18,scikit-learn 实战之非监督学习,690,8952
2016/7/11 10:08,对英国房屋价格建模并预测 ---《量化金融R语言初级教程》,390,3543
2016/7/11 11:18,R语言对高频交易订单流进行建模分析,213,720
2016/7/11 14:51,python 实现简单邮件客户端,285,2064
2016/7/11 18:11,Python 实现轻量型 Web 框架,108,8604
2016/7/12 13:51,使用R语言基于新浪股票数据分析金融数据的“统计常识”,405,1440
2016/7/12 17:31,序列的数据挖掘--《数据科学：R语言实战》,297,1953
2016/7/14 14:29,React+Express+MongoDB 实现网易云音乐,42,3540
2016/7/17 10:17,Java模拟实现实验楼课程管理系统,522,4236
2016/7/17 11:32,Matplotlib 及 Seaborn 使用教程,630,9618
2016/7/18 9:43,基于TensorFlow实现卷积神经网络,1341,10467
2016/7/18 10:05,基于R语言的多元线性回归--我国经济增长的定量研究,210,1275
2016/7/18 17:43,通过代码审计学习Web安全,9,2241
2016/7/20 11:31,Go语言开发在线商城,99,3873
2016/7/20 14:45,R 语言实现股票数据的预处理及分析,522,3720
2016/7/20 15:18,Vue.js+Koa.js+MongoDB打造“什么值得买”网站,36,3753
2016/7/25 15:27,R语言分析股票指数的GARCH效应,147,672
2016/7/26 10:44,实现express框架中的session中间件,213,2964
2016/7/26 16:15,OpenStack Ocata版本单节点搭建,150,2250
2016/7/27 13:19,R语言实现金融数据的时间序列分析及建模 ,267,1305
2016/7/29 10:22,Robot Framework自动化测试基础实战课程,15,531
2016/7/31 11:01,Pandas 使用教程,216,2340
2016/8/1 10:59,R语言实现城镇居民全年人均消费支出的聚类分析,129,1143
2016/8/1 16:51,Java实现简单的项目进度管理系统,933,10341
2016/8/2 9:46,R语言建立VAR模型分析联合内生变量的动态关系,132,216
2016/8/14 17:18,Hyperledger Fabric 区块链环境部署,153,1125
2016/8/15 10:21,楼+之Python实战,114,16743
2016/9/6 10:11,高级bash脚本编程指南,216,3078
